اداره,وحده,من الاولي الي الرابعه,الخامسه والمنشطه,بي سي جي
العاشر من رمضان,مركز طبي العاشر اول,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء,السبت، الإثنين، الأربعاء,السبت، الثلاثاء
العاشر من رمضان,مركز طبى حى 16 الجديد,السبت، الأربعاء,السبت، الأربعاء,
العاشر من رمضان,مركز طبى حى العاشر غرب,الخميس,الخميس,
العاشر من رمضان,مركز طبى مجاوره اثنى عشر,السبت، الأحد، الإثنين، الثلاثاء,الأحد، الإثنين,السبت، الثلاثاء
العاشر من رمضان,مركز طبى مجاوره اربعه وخمسون,الإثنين، الثلاثاء، الأربعاء,الإثنين، الأربعاء,الثلاثاء
العاشر من رمضان,مركز طبى مجاوره اربعين,الإثنين، الثلاثاء، الخميس,الإثنين، الخميس,الثلاثاء
العاشر من رمضان,مركز طبى مجاوره ثمانية وعشرون,الإثنين، الثلاثاء، الأربعاء,الثلاثاء، الأربعاء,
العاشر من رمضان,مركز طبى مجاوره سته واربعون,الأحد، الإثنين,الأحد، الإثنين,
العاشر من رمضان,مرمز طبى حى 31,الثلاثاء,الثلاثاء,
القرين,كفر موسى شكر,الأحد 3,,
القرين,مركز طب أسرة الهيصمية,الأحد، الثلاثاء، الخميس,الأحد,الثلاثاء 2، الثلاثاء 4
القرين,مركز طبى القرين,السبت، الثلاثاء، الخميس,السبت,الثلاثاء 1، الثلاثاء 3
القرين,مكتب صحة القرين,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,الأحد، الثلاثاء، الأربعاء، الخميس,السبت
القرين,وحدة طب أسرة الطويلة,الثلاثاء، الخميس,الخميس,الثلاثاء 4
القرين,وحدة طب أسرة بحر الهوي,الثلاثاء,الثلاثاء 2، الثلاثاء 4,
القنايات,مركز طب أسرة بهنباى,السبت، الثلاثاء، الأربعاء,الأربعاء,الثلاثاء 1، الثلاثاء 3
القنايات,مركز طب اسرة شنبارة الميمونة,السبت، الأحد، الثلاثاء,الأحد,السبت
القنايات,مركز طبى القنايات,السبت، الأحد، الثلاثاء، الأربعاء، الخميس,الأحد، الأربعاء,الثلاثاء
القنايات,وحدة البيوم,السبت، الثلاثاء,الثلاثاء,السبت 1، السبت 3
القنايات,وحدة بنى شبل,السبت، الأحد، الثلاثاء,الأحد,السبت
القنايات,وحدة طب أسرة أبو زيد,الثلاثاء 1، الثلاثاء 3,الثلاثاء 1، الثلاثاء 3,
القنايات,وحدة طب أسرة أم الزين,السبت، الأحد، الثلاثاء، الأربعاء,الأحد، الأربعاء,السبت
القنايات,وحدة طب أسرة أم رماد,السبت، الثلاثاء,السبت,الثلاثاء 1
القنايات,وحدة طب أسرة الطيبة,السبت، الثلاثاء,السبت,الثلاثاء 1، الثلاثاء 3
القنايات,وحدة طب أسرة تل مسمار,الثلاثاء 1، الثلاثاء 3,الثلاثاء 1، الثلاثاء 3,
القنايات,وحدة طب أسرة شيبة النكارية,السبت، الإثنين، الثلاثاء,الإثنين,الثلاثاء
القنايات,وحدة طب أسرة فرسيس,السبت، الثلاثاء,السبت,الثلاثاء 4
القنايات,وحدة طب بنى عباد,السبت، الثلاثاء,الثلاثاء,السبت 1، السبت 3
القنايات,وحدة ميت أبو عربى,السبت، الثلاثاء,الثلاثاء,السبت 5
بلبيس,أولاد سيف,السبت، الثلاثاء,السبت,الثلاثاء 4
بلبيس,أولاد مهنا,السبت، الثلاثاء,السبت,الثلاثاء 4
بلبيس,البلاشون,السبت، الإثنين، الأربعاء,الإثنين,السبت 5
بلبيس,الجوسق,السبت، الأربعاء,الأربعاء,السبت 2، السبت 4
بلبيس,الزوامل,السبت، الإثنين، الأربعاء,الإثنين,السبت 2، السبت 4
بلبيس,السلام,السبت، الإثنين، الثلاثاء، الأربعاء,الإثنين، الأربعاء,السبت 5
بلبيس,الشغابنه,السبت، الإثنين,الإثنين,
بلبيس,الشوليه,الثلاثاء 1، الثلاثاء 3,الثلاثاء 1، الثلاثاء 3,
بلبيس,العدليه,السبت، الإثنين,الإثنين,السبت 5
بلبيس,الكتيبه,السبت، الأربعاء,الأربعاء,السبت 5
بلبيس,الكفر القديم,السبت، الإثنين,الإثنين,
بلبيس,المبارك,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2، الثلاثاء 4,الثلاثاء 4
بلبيس,المركز الطبى ببلبيس,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس
بلبيس,انشاص  الرمل,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء,الإثنين، الأربعاء,السبت
بلبيس,بساتين الاسماعيليه,السبت، الإثنين، الأربعاء,الإثنين,السبت 2، السبت 5
بلبيس,بساتين بركات,السبت، الثلاثاء، الخميس,الثلاثاء,السبت 2، السبت 4
بلبيس,بنى  صالح,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2، الثلاثاء 4,الثلاثاء 4
بلبيس,بير عماره,السبت، الإثنين,الإثنين,السبت 5
بلبيس,جلفينا,السبت، الإثنين,الإثنين,السبت 5
بلبيس,حفنا,السبت، الثلاثاء,الثلاثاء,السبت 5
بلبيس,حوض  الندى,السبت، الإثنين,الإثنين,السبت 5
بلبيس,سلمنت,السبت، الثلاثاء,السبت,الثلاثاء 2
بلبيس,سندنهور,السبت، الإثنين,الإثنين,السبت 5
بلبيس,شبرا النخله,السبت، الإثنين، الأربعاء,الإثنين,السبت 2، السبت 4
بلبيس,قرمله,السبت، الثلاثاء,السبت,الثلاثاء 4
بلبيس,كفر  ابراهيم,السبت، الأربعاء 1، الأربعاء 4,الأربعاء 1، الأربعاء 4,السبت 5
بلبيس,كفر اكياد,السبت، الأربعاء,الأربعاء,السبت 5
بلبيس,كفر ايوب سليمان,السبت، الثلاثاء,السبت,الثلاثاء 4
بلبيس,منيه سنتا,السبت، الإثنين,الإثنين,
بلبيس,ميت  حبيب,السبت، الثلاثاء,السبت,الثلاثاء 4
بلبيس,ميت جابر,السبت، الإثنين,الإثنين,السبت 2، السبت 4
بلبيس,ميت حمل,السبت، الإثنين,الإثنين,السبت 5
بلبيس,ميت معلا,السبت، الثلاثاء,السبت,الثلاثاء 4
بلبيس,نوبه والدهاشنه,الإثنين، الأربعاء,الإثنين,السبت 5
ديرب نجم,ابومتنا,الإثنين,الإثنين 3,
ديرب نجم,اكراش,الأحد,الأحد,الأحد 2
ديرب نجم,اكوه,السبت، الثلاثاء,الثلاثاء,الثلاثاء 1، الثلاثاء 3
ديرب نجم,الصانيه,الإثنين,الإثنين,الإثنين 3
ديرب نجم,الصوينى,الإثنين,الإثنين 2، الإثنين 4,
ديرب نجم,العصايد,الثلاثاء,الثلاثاء,
ديرب نجم,المجفف,الأحد,الأحد,الأحد 1، الأحد 4
ديرب نجم,الهوابر,الثلاثاء,الثلاثاء,
ديرب نجم,برمكيم,الثلاثاء,الثلاثاء 3,
ديرب نجم,بهنيا,الأحد، الأربعاء,الأحد,الأحد 2، الأحد 4
ديرب نجم,جميزه بنى عمرو,الأحد، الثلاثاء,الثلاثاء,الثلاثاء 3
ديرب نجم,حسن البنا,الأربعاء 4,الأربعاء 4,
ديرب نجم,دبيج,الأربعاء,الأربعاء 2، الأربعاء 3,
ديرب نجم,ديرب السوق,الإثنين، الأربعاء 4,الأربعاء,
ديرب نجم,ديرب نجم اول,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,الأحد، الأربعاء,السبت، الثلاثاء
ديرب نجم,ديرب نجم ثان,الإثنين، الأربعاء,الأربعاء,
ديرب نجم,شبرا صوره,الإثنين,الإثنين 2، الإثنين 3,
ديرب نجم,شمباره منقلا,الثلاثاء,الثلاثاء,
ديرب نجم,شوبك اكراش,السبت 2، السبت 4,السبت 4,
ديرب نجم,صافور,الأحد، الثلاثاء، الخميس,الخميس,الثلاثاء
ديرب نجم,صفط زريق,الإثنين، الخميس,الإثنين,الإثنين 1، الإثنين 4
